Date,Min temp,Max temp,Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temp,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temp,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),Rain Tomorrow
2021-01-24,20.1,29.0,0.0,ESE,22.0,13:48,25.2,73,0.0,ESE,6,1010.8,27.7,74,0.0,SE,17,1008.3,0
2021-01-25,20.6,32.6,0.0,NNE,46.0,12:38,27.0,72,0.0,NNE,15,1006.7,29.0,59,0.0,NNE,31,1001.9,0
2021-01-26,20.0,34.7,0.0,S,59.0,17:02,32.5,27,0.0,NW,20,998.7,25.6,63,8.0,ENE,9,998.7,0
2021-01-27,17.5,22.1,11.8,S,39.0,09:11,18.6,77,7.0,S,20,1014.5,21.5,58,8.0,SW,15,1016.9,1
2021-01-28,16.5,20.1,8.4,ESE,30.0,23:06,16.9,94,8.0,WSW,13,1023.4,18.9,77,8.0,WNW,6,1023.2,1
2021-01-29,16.4,20.4,9.4,ENE,50.0,08:23,19.5,89,6.0,ENE,31,1019.2,19.7,94,8.0,N,9,1016.3,1
2021-01-30,18.3,27.5,28.8,S,43.0,17:11,20.3,96,8.0, ,Calm,1010.3,25.4,75,0.0,NNE,28,1007.1,1
2021-01-31,17.4,21.7,1.2,SSE,22.0,10:50,17.8,94,0.0,SW,11,1017.7,20.8,70,0.0,SSE,11,1017.9,1
2020-11-1,13.8,21.0,60.2,S,54.0,11:40,15.1,85,8.0,SSW,26,1018.1,19.7,66,0.0,SSE,30,1020.9,1
2020-11-2,10.7,20.6,0.0,ESE,22.0,12:13,18.9,69,4.0,SSW,11,1028.5,19.7,63,0.0,ENE,17,1026.7,0
2020-11-3,9.2,20.8,0.0,NE,33.0,13:52,17.7,71,2.0,N,9,1026.4,20.5,64,0.0,NE,24,1022.6,0
2020-11-4,9.7,25.3,0.0,S,39.0,22:56,17.8,77,0.0,ENE,11,1014.1,23.4,66,1.0,NE,22,1008.5,0
2020-11-5,11.2,15.5,24.8,S,57.0,03:18,11.6,94,8.0,SW,6,1012.3,14.0,81,8.0,SSW,11,1013.0,1
2020-11-6,7.5,18.6,1.2,SE,26.0,11:47,15.3,56,0.0,WSW,9,1019.2,18.0,52,0.0,ESE,15,1016.8,1
2020-11-7,11.9,19.6,0.0,SE,48.0,11:05,17.7,49,1.0,S,19,1021.3,18.1,48,0.0,SSE,31,1023.0,0
2020-11-8,9.2,18.8,0.0,ENE,26.0,14:37,16.0,44,0.0,SW,7,1029.8,18.3,51,0.0,E,20,1028.3,0
2020-11-9,10.6,20.4,0.0,ENE,35.0,11:43,18.4,62,0.0,ENE,13,1028.0,19.5,54,0.0,NE,26,1024.8,0
2020-11-10,8.8,21.8,0.0,NE,43.0,13:44,18.7,59,0.0,NNE,13,1023.4,20.9,64,0.0,NE,30,1019.1,0
2020-11-11,10.3,23.0,0.0,NE,48.0,14:02,19.5,68,0.0,ENE,11,1017.4,21.9,72,0.0,NE,35,1012.2,0
2020-11-12,14.9,28.7,0.0,NNW,43.0,12:48,19.0,85,8.0,NNE,9,1007.9,27.3,42,8.0,NW,19,1004.2,0
2020-11-13,16.5,21.6,1.6,S,35.0,19:20,20.4,75,1.0,SSE,11,1003.6,20.3,82,8.0,SE,17,1001.1,1
2020-11-14,15.3,21.6,2.8,ESE,22.0,10:04,18.1,78,6.0,SSW,9,1009.4,20.6,73,0.0,ENE,19,1008.2,1
2020-11-15,13.5,26.3,0.2,NNE,39.0,14:49,20.7,74,0.0,ENE,11,1014.7,23.2,69,0.0,NE,26,1011.6,0
2020-11-16,19.4,36.1,0.0,NW,65.0,10:36,21.7,72,3.0,NE,11,1006.7,32.1,25,8.0,WNW,30,1005.8,0
2020-11-17,14.5,20.8,0.0,SSE,33.0,07:22,17.8,57,8.0,SSE,17,1019.7,18.9,49,7.0,ESE,19,1020.4,0
2020-11-18,14.7,22.1,0.0,NNE,41.0,17:15,18.8,71,0.0,E,13,1024.8,20.7,62,0.0,NE,28,1021.3,0
2020-11-19,11.8,22.9,0.0,NNE,46.0,15:12,19.8,71,0.0,NE,15,1021.3,22.0,71,0.0,NE,30,1016.9,0
2020-11-20,14.7,24.2,0.0,SSE,52.0,13:24,21.3,76,0.0,ENE,15,1013.8,23.6,74,2.0,SSE,31,1015.6,0
