GLon,GLat,SpType,KMag,Lum
115.71717195,-8.04852937,A,1.1430317460317458,18.940752635329417
103.89150092,-50.27422874,G,2.58,2.14
326.91044757,-68.75179,M,5.49,0.04
102.75581894,-52.54935347,G,1.775935085007729,0.644020118353425
340.00410991,-74.19014513,G,1.775935085007729,0.644020118353425
102.80891013,-52.46349293,F,2.08,6.21
114.41062375,-14.63751729,F,1.06,10.91
115.28367913,-10.31368043,K,-0.033235294117647106,0.582456178411574
113.32431617,-19.80972056,K,-0.033235294117647106,0.582456178411574
105.86214466,-45.90931681,A,1.1430317460317458,18.940752635329417
106.21829304,-45.0224535,A,0.05,69.2
356.8152902,-77.44863389,F,1.9116605392156885,2.1308778054892983
107.10350538,-42.68105269,F,2.02,4.17
115.81837648,-7.64319993,F,1.9116605392156885,2.1308778054892983
75.34019555,-73.99409319,K,-0.033235294117647106,0.582456178411574
330.10047553,-70.51263647,K,-0.033235294117647106,0.582456178411574
92.82626071,-65.16251142,F,2.12,4.77
107.16592945,-42.53532594,G,2.4,3.37
118.00634641,3.69535282,G,1.775935085007729,0.644020118353425
309.95271833,-48.82284024,G,1.775935085007729,0.644020118353425
118.01052657,3.69599676,A,1.1430317460317458,18.940752635329417
88.90117409,-68.0749394,F,2.23,3.41
343.32014224,-75.10159543,G,1.775935085007729,0.644020118353425
19.83087209,-79.07235757,F,2.68,2.79
115.23873785,-10.66936671,G,-0.32,20.26
110.13663252,-33.1151105,A,1.1430317460317458,18.940752635329417
119.73222751,12.46806189,M,0.5756497175141247,0.06896794895596911
113.52198747,-19.05892417,B,0.93,40.11
121.35481352,20.25118581,A,-0.73,121.33
315.34557621,-58.30502034,G,1.775935085007729,0.644020118353425
101.6012311,-54.80872057,F,2.35,3.22
111.96787342,-26.01792634,A,0.73,25.01
120.79296863,17.61320463,F,0.73,14.73
335.69475067,-72.9049743,K,-0.033235294117647106,0.582456178411574
99.18255781,-58.47999745,F,2.53,2.23
100.31724659,-56.85981945,K,-0.033235294117647106,0.582456178411574
77.37922181,-73.44478059,F,2.59,2.69
41.51234279,-78.86387287,F,1.9116605392156885,2.1308778054892983
110.10073892,-33.40612644,F,1.37,7.73
114.43695538,-14.81655705,A,1.1430317460317458,18.940752635329417
110.65393293,-31.3744952,F,1.76,5.81
314.54852591,-57.23860029,F,1.9116605392156885,2.1308778054892983
14.22810538,-78.94069283,A,1.88,17.43
119.03489091,8.85476398,K,-0.033235294117647106,0.582456178411574
118.82144472,7.75431282,B,-0.030170454545454518,16034.635778185937
119.03813704,8.86382166,K,-0.033235294117647106,0.582456178411574
97.0047302,-61.3007126,K,-0.033235294117647106,0.582456178411574
338.97441078,-74.02325501,G,1.02,6.48
62.90269499,-76.83889937,F,1.03,10.51
100.09475443,-57.32512971,F,1.28,8.51
103.6359735,-51.25176696,F,1.9116605392156885,2.1308778054892983
103.33089245,-51.88077545,K,-0.033235294117647106,0.582456178411574
